Book_ID,Title,Author_First,Author_Last,Image_Path,Review_Score,Description
25,Deep Reinforcement Learning Hands On,Maxim,Lapan,./images/Bookshelf_Images/All_Textbook_Images/Deep_Reinforcement_Learning_Hands_On.JPG,4,This practical guide will teach you how deep learning (DL) can be used to solve complex real-world problems.
26,Design Patterns,Richard,Helm,./images/Bookshelf_Images/All_Textbook_Images/Design_Patterns.JPG,3,"Capturing a wealth of experience about the design of object-oriented software, four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented, these 23 patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themselves."
27,Discrete Mathematics,John,Dossey,./images/Bookshelf_Images/All_Textbook_Images/Discrete_Mathematics.JPG,2,This book provides an accessible introduction to discrete mathematics through an algorithmic approach that focuses on problem-solving techniques with woven techniques of proofs into the text as a running theme.
28,Docker Deep Dive,Nigel,Poulton,./images/Bookshelf_Images/All_Textbook_Images/Docker_Deep_Dive.JPG,4,"This is the ultimate book for learning Docker, brought to you by Docker Captain and leading educator in the container ecosystem Nigel Poulton."
29,Dynamic Programming & Optimal Control Volume 2,Dimitri,Bertsekas,./images/Bookshelf_Images/All_Textbook_Images/Dynamic_Programming_&_Optimal_Control_Volume_2.JPG,3,"The second volume is oriented towards mathematical analysis and computation, treats infinite horizon problems extensively, and provides a detailed account of approximate large-scale dynamic programming and reinforcement learning."
30,Elementary Differential Equations & Boundary Value Problems,William,Boyce,./images/Bookshelf_Images/All_Textbook_Images/Elementary_Differential_Equations_&_Boundary_Value_Problems.JPG,3,"The 10th edition of Elementary Differential Equations and Boundary Value Problems, like its predecessors, is written from the viewpoint of the applied mathematician, whose interest in differential equations may sometimes be quite theoretical, sometimes intensely practical, and often somewhere in between."
31,Elements of Information Theory,Joy,Thomas,./images/Bookshelf_Images/All_Textbook_Images/Elements_of_Information_Theory.JPG,5,"Following a brief introduction and overview, early chapters cover the basic algebraic relationships of entropy, relative entropy and mutual information, AEP, entropy rates of stochastics processes and data compression, duality of data compression and the growth rate of wealth."
32,Elements of Statistical Learning,Trevor,Hastie,./images/Bookshelf_Images/All_Textbook_Images/Elements_of_Statistical_Learning.JPG,3,"This book describes the important ideas in a variety of fields such as medicine, biology, finance, and marketing in a common conceptual framework. While the approach is statistical, the emphasis is on concepts rather than mathematics."
33,Essentials of Investments,Zvi,Bodie,./images/Bookshelf_Images/All_Textbook_Images/Essentials_of_Investments.JPG,4,The market leading undergraduate investments textbook Essentials of Investments 10e by Bodie Kane and Marcus emphasizes asset allocation while presenting the practical applications of investment theory.
34,Fifty Challenging Problems in Probability,Frederick,Mosteller,./images/Bookshelf_Images/All_Textbook_Images/Fifty_Challenging_Problems_in_Probability.JPG,4,"Remarkable selection of puzzlers, graded in difficulty, that illustrate both elementary and advanced aspects of probability. Selected for originality, general interest, or because they demonstrate valuable techniques, the problems are ideal as a supplement to courses in probability or statistics, or as stimulating recreation for the mathematically minded. "
35,Financial Instutions Markets & Money,Frederick,Mishkin,./images/Bookshelf_Images/All_Textbook_Images/Financial_Instutions_Markets_&_Money.JPG,4,"In Financial Markets and Institutions , bestselling authors Frederic S. Mishkin and Stanley G. Eakins provide a practical introduction to prepare students for today’s changing landscape of financial markets and institutions."
36,Financial Signal Processing & Machine Learning,Ali,Akansu,./images/Bookshelf_Images/All_Textbook_Images/Financial_Signal_Processing_& Machine_Learning.JPG,4,The modern financial industry has been required to deal with large and diverse portfolios in a variety of asset classes often with limited market data available. 
37,Fixed Income Securities,Bruce,Tuckman,./images/Bookshelf_Images/All_Textbook_Images/Fixed_Income_Securities.JPG,3,"A comprehensive book which reflects the most current thinking on fixed income securities and how to handle them Fixed income securities, such as bonds, can be hard to value when unforeseen factors impact the market."
38,Foundations of Machine Learning,Afshin,Rostamizadeh,./images/Bookshelf_Images/All_Textbook_Images/Foundations_of_Machine_Learning.JPG,3,A new edition of a graduate-level machine learning textbook that focuses on the analysis and theory of algorithms.This book is a general introduction to machine learning that can serve as a textbook for graduate students and a reference for researchers.
39,Fractals in Nature,Benoit,Mandelbrodt,./images/Bookshelf_Images/All_Textbook_Images/Fractals_in_Nature.JPG,5,"Now that the field has expanded greatly with many active researchers, Mandelbrot presents the definitive overview of the origins of his ideas and their new applications. "
40,Futures Market,Jack,Schwager,./images/Bookshelf_Images/All_Textbook_Images/Futures_Market.JPG,5,"A Complete Guide to the Futures Market will quickly become, and remain for many years, the definitive textbook for information on the futures market."
41,Game Theory 101,William,Spaniel,./images/Bookshelf_Images/All_Textbook_Images/Game_Theory_101.JPG,5,"Game Theory 101: The Complete Textbook is a no-nonsense, games-centered introduction to strategic form (matrix) and extensive form (game tree) games. From the first lesson to the last, this textbook introduces games of increasing complexity and then teaches the game theoretical tools necessary to solve them."
42,Generative Deep Learning,David,Foster,./images/Bookshelf_Images/All_Textbook_Images/Generative_Deep_Learning.JPG,1,"Generative modeling is one of the hottest topics in AI. It’s now possible to teach a machine to excel at human endeavors such as painting, writing, and composing music."
43,Geometry an Introduction,Gunter,Ewald,./images/Bookshelf_Images/All_Textbook_Images/Geometry_an_Introduction.JPG,3,"Geometry was considered until modern times to be a model science. To be developed more geometrico was a seal of quality for any endeavor, whether mathematical or not."
44,Golasa Russian I,Richard,Robin,./images/Bookshelf_Images/All_Textbook_Images/Golasa_Russian_I.JPG,4,Communicative approach to Russian that is designed to help readers reach the ACTFL Intermediate range in speaking and Intermediate High in reading and listening.
45,Google Hacking,John,Long,./images/Bookshelf_Images/All_Textbook_Images/Google_Hacking.JPG,4,"Readers will learn how Google Maps and Google Earth provide pinpoint military accuracy, see how bad guys can manipulate Google to create super worms, and see how they can ""mash up"" Google with MySpace, LinkedIn, and more for passive reconaissance."
46,Guide to Numpy,Travis,Oliphant,./images/Bookshelf_Images/All_Textbook_Images/Guide_to_Numpy.JPG,4,This is the second edition of Travis Oliphant's A Guide to NumPy originally published electronically in 2006. It is designed to be a reference that can be used by practitioners who are familiar with Python but want to learn more about NumPy and related tools.
47,Hacking the Art of Exploitation,Jon,Erickson,./images/Bookshelf_Images/All_Textbook_Images/Hacking_the_Art_of_Exploitation.JPG,4,"Rather than merely showing how to run existing exploits, author Jon Erickson explains how arcane hacking techniques actually work. To share the art and science of hacking in a way that is accessible to everyone, Hacking: The Art of Exploitation, 2nd Edition introduces the fundamentals of C programming from a hacker's perspective."
48,Hands on Machine Learning with Scikit Learn & Tensorflow,Aurelien,Geron,./images/Bookshelf_Images/All_Textbook_Images/Hands_on_Machine_Learning_with_Scikit_Learn_&_Tensorflow.JPG,5,"By using concrete examples, minimal theory, and two production-ready Python frameworks—scikit-learn and TensorFlow—author Aurélien Géron helps you gain an intuitive understanding of the concepts and tools for building intelligent systems."
49,Hedge Fund Secrects,Tucker,Balch,./images/Bookshelf_Images/All_Textbook_Images/Hedge_Fund_Secrects.JPG,1,"What Hedge Funds Do provides a needed complement to journalistic accounts of the hedge fund industry, to deepen the understanding of non-specialist readers such as policymakers, journalists, and individual investors.What do hedge funds really do?"
50,High Performance Python,Ivan,Ozsvald,./images/Bookshelf_Images/All_Textbook_Images/High_Performance_Python.JPG,5,"Your Python code may run correctly, but you need it to run faster. By exploring the fundamental theory behind design choices, this practical guide helps you gain a deeper understanding of Python’s implementation."
51,HTML & CSS,Jon,Ducket,./images/Bookshelf_Images/All_Textbook_Images/HTML_&_CSS.JPG,3,"A full-color introduction to the basics of HTML and CSS from the publishers of Wrox!  Every day, more and more people want to learn some HTML and CSS. "
52,Interactive Data Visualization for the Web,Scott,Murray,./images/Bookshelf_Images/All_Textbook_Images/Interactive_Data_Visualization_for_the_Web.JPG,4,"Create and publish your own interactive data visualization projects on the Web—even if you have little or no experience with data visualization or web development. It’s easy and fun with this practical, hands-on introduction."
53,International Financial Management,Eun,Resnick,./images/Bookshelf_Images/All_Textbook_Images/International_Financial_Management.JPG,3,"International financial fanagement provides students with a foundation for analysis through a text that is well-organized, comprehensive, and provides up-to-date coverage of the topics. Like the first eight editions, it is written based on two tenets: emphasis on the basics and emphasis on a managerial perspective."
54,Introduction to Applied Linear Algebra,Stephen,Boyd,./images/Bookshelf_Images/All_Textbook_Images/Introduction_to_Applied_Linear_Algebra.JPG,3,This groundbreaking textbook combines straightforward explanations with a wealth of practical examples to offer an innovative approach to teaching linear algebra.
55,Introduction to Classical Mechanics,David,Morin,./images/Bookshelf_Images/All_Textbook_Images/Introduction_to_Classical_Mechanics.JPG,4,"This textbook covers all the standard introductory topics in classical mechanics, including Newton's laws, oscillations, energy, momentum, angular momentum, planetary motion, and special relativity."
56,Introduction to Electrodynamics,David ,Griffiths,./images/Bookshelf_Images/All_Textbook_Images/Introduction_to_Electrodynamics.JPG,4,"Introduction to Electrodynamics is a textbook by the physicist David J. Griffiths. Generally regarded as a standard undergraduate text on the subject, it began as lecture notes that have been perfected over time."
57,Introduction to Linear Algebra,Gilbert,Strang,./images/Bookshelf_Images/All_Textbook_Images/Introduction_to_Linear_Algebra.JPG,3,"Linear algebra is something all mathematics undergraduates and many other students, in subjects ranging from engineering to economics, have to learn."
58,Javascript & jQuery,Jon,Ducket,./images/Bookshelf_Images/All_Textbook_Images/Javascript_&_jQuery.JPG,3,"Learn JavaScript and jQuery a nicer way This full-color book adopts a visual approach to teaching JavaScript & jQuery, showing you how to make web pages more interactive and interfaces more intuitive through the use of inspiring code examples, infographics, and photography"
59,Learning from Data,Yaser,Abu-Mostafa,./images/Bookshelf_Images/All_Textbook_Images/Learning_from_Data.JPG,4,"This is an introductory course in machine learning (ML) that covers the basic theory, algorithms, and applications. ML is a key technology in Big Data, and in many financial, medical, commercial, and scientific applications."
60,Learning React,Alex,Banks,./images/Bookshelf_Images/All_Textbook_Images/Learning_React.JPG,2,"If you want to learn how to build efficient user interfaces with React, this is your book. Authors Alex Banks and Eve Porcello show you how to create UIs with this small JavaScript library that can deftly display data changes on large-scale, data-driven websites without page reloads."
61,Learning SQL,Alan,Beaulieu,./images/Bookshelf_Images/All_Textbook_Images/Learning_SQL.JPG,4,"Knowledge of SQL is a must for interacting with data. With Learning SQL, you'll quickly learn how to put the power and flexibility of this language to work."
62,Learning with Kernels,Bernhard,Scholkopf,./images/Bookshelf_Images/All_Textbook_Images/Learning_with_Kernels.JPG,5,"A comprehensive introduction to Support Vector Machines and related kernel methods. In the 1990s, a new type of learning algorithm was developed, based on results from statistical learning theory: the Support Vector Machine (SVM)."
63,Linear Algebra,David,Lay,./images/Bookshelf_Images/All_Textbook_Images/Linear_Algebra.JPG,3,"With traditional linear algebra texts, the course is relatively easy for students during the early stages as material is presented in a familiar, concrete setting."
64,Linear Algebra Done Right,Sheldon,Axler,./images/Bookshelf_Images/All_Textbook_Images/Linear_Algebra_Done_Right.JPG,5,This best-selling textbook for a second course in linear algebra is aimed at undergrad math majors and graduate students. The novel approach taken here banishes determinants to the end of the book.
65,Machine Learning a Probablistic Perspective,Kevin,Murphy,./images/Bookshelf_Images/All_Textbook_Images/Machine_Learning_a_Probablistic_Perspective.JPG,2,A comprehensive introduction to machine learning that uses probabilistic models and inference as a unifying approach.Today's Web-enabled deluge of electronic data calls for automated methods of data analysis.
66,Machine Learning in Computational Finance,Victor,Boyarshinov,./images/Bookshelf_Images/All_Textbook_Images/Machine_Learning_in_Computational_Finance.JPG,3,In the first part of the book practical algorithms for building optimal trading strategies are constructed. Both non-restricted and risk-adjusted (Sterling ratio and Sharp ratio) trading strategies are considered.
67,Mastering Blockchain,Imran,Bashir,./images/Bookshelf_Images/All_Textbook_Images/Mastering_Blockchain.JPG,4,"This book covers the basics, including blockchain’s technical underpinnings, cryptography and consensus protocols. It also provides you with expert knowledge on decentralization, decentralized application development on Ethereum, Bitcoin, alternative coins, smart contracts, alternative blockchains, and Hyperledger."
68,Mastering Machine Learning with R,Brett,Lantz,./images/Bookshelf_Images/All_Textbook_Images/Mastering_Machine_Learning_with_R.JPG,3,Master machine learning techniques with R to deliver insights for complex projectsAbout This BookGet to grips with the application of Machine Learning methods using an extensive set of R packages
69,Mastering Machine Learning with Scikit learn,Gavin,Hackeling,./images/Bookshelf_Images/All_Textbook_Images/Mastering_Machine_Learning_with_Scikit_learn.JPG,3,"This book examines a variety of machine learning models including popular machine learning algorithms such as k-nearest neighbors, logistic regression, naive Bayes, k-means, decision trees, and artificial neural networks."
70,Mastering Pandas for Finance,Michael,Heydt,./images/Bookshelf_Images/All_Textbook_Images/Mastering_Pandas_for_Finance.JPG,3,This book will teach you to use Python and the Python Data Analysis Library (pandas) to solve real-world financial problems.
71,Mathematics and its History,John,Stillwell,./images/Bookshelf_Images/All_Textbook_Images/Mathematics_and_its_History.JPG,5,"This book covers many interesting topics not usually covered in a present day undergraduate course, as well as certain basic topics such as the development of the calculus and the solution of polynomial equations. The fact that the topics are introduced in their historical contexts will enable students to better appreciate and understand the mathematical ideas involved"
72,Modern Computer Architecture and Organization,Jim,Ledin,./images/Bookshelf_Images/All_Textbook_Images/Modern_Computer_Architecture_and_Organization.JPG,4,"A no-nonsense, practical guide to current and future processor and computer architectures, enabling you to design computer systems and develop better software applications across a variety of domains"
73,Natural Language Processing,Steven,Bird,./images/Bookshelf_Images/All_Textbook_Images/Natural_Language_Processing.JPG,4,"This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation."
74,Neural Networks in Finance,Paul,McNelis,./images/Bookshelf_Images/All_Textbook_Images/Neural_Networks_in_Fincance.JPG,3,"This book explores the intuitive appeal of neural networks and the genetic algorithm in finance. It demonstrates how neural networks used in combination with evolutionary computation outperform classical econometric methods for accuracy in forecasting, classification and dimensionality reduction."
75,Numerical Linear Algebra,Lloyd,Trefethen,./images/Bookshelf_Images/All_Textbook_Images/Numerical_Linear_Algebra.JPG,4,"A concise, insightful, and elegant introduction to the field of numerical linear algebra. Designed for use as a stand-alone textbook in a one-semester, graduate-level course in the topic,"
76,Numerical Optimization,Jorge,Nocedal,./images/Bookshelf_Images/All_Textbook_Images/Numerical_Optimization.JPG,4,"Numerical Optimization presents a comprehensive and up-to-date description of the most effective methods in continuous optimization. It responds to the growing interest in optimization in engineering, science, and business by focusing on the methods that are best suited to practical problems."
77,Options Futures and Other Derivatives,John,Hull,./images/Bookshelf_Images/All_Textbook_Images/Options_Futures_and_Other_Derivatives.JPG,5,"Options, Futures, and Other Derivatives by John C. Hull bridges the gap between theory and practice by providing a current look at the industry, a careful balance of mathematical sophistication, and an outstanding ancillary package that makes it accessible to a wide audience."
78,Pattern Recognition and Machine Learning,Christopher,Bishop,./images/Bookshelf_Images/All_Textbook_Images/Pattern_Recognition_and_Machine_Learning.JPG,4,The field of pattern recognition has undergone substantial development over the years. This book reflects these developments while providing a grounding in the basic concepts of pattern recognition and machine learning.
79,PHP MySQL & Javascript,Robin,Nixon,./images/Bookshelf_Images/All_Textbook_Images/PHP_MySQL_&_Javascript.JPG,4,"Build interactive, data-driven websites with the potent combination of open source technologies and web standards, even if you have only basic HTML knowledge. With the latest edition of this popular hands-on guide, you'll tackle dynamic web programming using the most recent versions of today's core technologies"
80,Practical Malware Analysis,Sikorski,Honig,./images/Bookshelf_Images/All_Textbook_Images/Practical_Malware_Analysis.JPG,3,"Malware analysis is big business, and attacks can cost a company dearly. When malware breaches your defenses, you need to act quickly to cure current infections and prevent future ones from occurring."
81,Probabilistic Graphical Models,Daphne,Koller,./images/Bookshelf_Images/All_Textbook_Images/Probabilistic_Graphical_Models.JPG,3,A general framework for constructing and using probabilistic models of complex systems that would enable a computer to use available information for making decisions.Most tasks require a person or an automated system to reason—to reach conclusions based on available information.
82,Pro Git,Scott,Chacon,./images/Bookshelf_Images/All_Textbook_Images/Pro_Git.JPG,4,"Effective and well-implemented version control is a necessity for successful web projects, whether large or small. With this book you’ll learn how to master the world of distributed version workflow, use the distributed features of Git to the full, and extend Git to meet your every need."
83,Python for Data Analysis,Wes,McKinney,./images/Bookshelf_Images/All_Textbook_Images/Python_for_Data_Analysis.JPG,4,"Get complete instructions for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.6, the second edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively."
84,Python Machine Learning,Sebastian,Raschka,./images/Bookshelf_Images/All_Textbook_Images/Python_Machine_Learning.JPG,3,"Python Machine Learning connects the fundamental theoretical principles behind machine learning to their practical application in a way that focuses you on asking and answering the right questions. It walks you through the key elements of Python and its powerful machine learning libraries, while demonstrating how to get to grips with a range of statistical models."
85,Quantum Mechanics,David,Griffiths,./images/Bookshelf_Images/All_Textbook_Images/Quantum_Mechanics.JPG,5,"Introduction to Quantum Mechanics, often called Griffiths, is an introductory textbook on quantum mechanics by David J. Griffiths. The book is considered a standard undergraduate textbook in the subject."
86,Red Team Field Manual,Ben,Clarke,./images/Bookshelf_Images/All_Textbook_Images/Red_Team_Field_Mannual.JPG,3,"The Red Team Field Manual (RTFM) is a no fluff, but thorough reference guide for serious Red Team members who routinely find themselves on a mission without Google or the time to scan through a man page."
87,Reinforcement Learning,Richard,Sutton,./images/Bookshelf_Images/All_Textbook_Images/Reinforcement_Learning.JPG,3,"In Reinforcement Learning, Richard Sutton and Andrew Barto provide a clear and simple account of the field's key ideas and algorithms."
88,Scikit Learn Cookbook,Julian,Avila,./images/Bookshelf_Images/All_Textbook_Images/Scikit_Learn_Cookbook.JPG,3,"This book consists of practical recipes on scikit-learn that target novices as well as intermediate users. It goes deep into the technical issues, covers additional protocols, and many more real-live examples so that you are able to implement it in your daily life scenarios."
89,Simulation Modeling and Analysis,Averill,Law,./images/Bookshelf_Images/All_Textbook_Images/Simulation_Modeling_and_Analysis.JPG,3,"Simulation Modeling and Analysis provides a comprehensive, state-of-the-art, and technically correct treatment of all important aspects of a simulation study."
90,Stochastic Calculus for Finance I,Steven,Shreve,./images/Bookshelf_Images/All_Textbook_Images/Stochastic_Calculus_for_Finance_I.JPG,3,Stochastic Calculus for Finance evolved from the first ten years of the Carnegie Mellon Professional Master's program in Computational Finance. The content of this book has been used successfully with students whose mathematics background consists of calculus and calculus-based probability.
91,Stochastic Calculus for Finance II,Steven,Shreve,./images/Bookshelf_Images/All_Textbook_Images/Stochastic_Calculus_for_Finance_II.JPG,4,Stochastic Calculus for Finance evolved from the first ten years of the Carnegie Mellon Professional Master's program in Computational Finance. The content of this book has been used successfully with students whose mathematics background consists of calculus and calculus-based probability.
92,TCP & IP Illustrated Volume 1,Kevin,Fall,./images/Bookshelf_Images/All_Textbook_Images/TCP_&_IP_Illustrated_Volume_1.JPG,4,"Praised by reviewers and practicing TCP/IP programmers alike, the TCP/IP Illustrated series examines the many facets of the TCP/IP protocol suite using a unique and highly-effective visual approach that describes the inner workings of TCP/IP with detail, insight, and clarity."
93,TCP & IP Illustrated Volume 2,Gary,Wright,./images/Bookshelf_Images/All_Textbook_Images/TCP_&_IP_Illustrated_Volume_2.JPG,4,"Praised by reviewers and practicing TCP/IP programmers alike, the TCP/IP Illustrated series examines the many facets of the TCP/IP protocol suite using a unique and highly-effective visual approach that describes the inner workings of TCP/IP with detail, insight, and clarity."
94,TCP & IP Illustrated Volume 3,Richard,Stevens,./images/Bookshelf_Images/All_Textbook_Images/TCP_&_IP_Illustrated_Volume_3.JPG,4,"Praised by reviewers and practicing TCP/IP programmers alike, the TCP/IP Illustrated series examines the many facets of the TCP/IP protocol suite using a unique and highly-effective visual approach that describes the inner workings of TCP/IP with detail, insight, and clarity."
95,Theory of Games and Economic Behavior,John,Von Neumann,./images/Bookshelf_Images/All_Textbook_Images/Theory_of_Games_and_Economic_Behavior.JPG,4,"Theory of Games and Economic Behavior, published in 1944 by Princeton University Press, is a book by mathematician John von Neumann and economist Oskar Morgenstern which is considered the groundbreaking text that created the interdisciplinary research field of game theory."
96,Thermal Physics,Charles,Kittel,./images/Bookshelf_Images/All_Textbook_Images/Thermal_Physics.JPG,4,"For upper-division courses in thermodynamics or statistical mechanics, Kittel and Kroemer offers a modern approach to thermal physics"
