Book_ID,Title,Image_Path,Author_First,Author_Last,Review_Score,Description
17,Einstein,./images/Bookshelf_Images/All_Non_Fiction_Images/Einstein.JPG,Walter,Isaacson,3,Einstein: His Life and Universe is a non-fiction book authored by American historian and journalist Walter Isaacson.
18,Elon Musk,./images/Bookshelf_Images/All_Non_Fiction_Images/Elon_Musk.JPG,Ashlee,Vance,4,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future is Ashlee Vance's biography of Elon Musk, published in 2015. The book traces Elon Musk's life from his childhood up to the time he spent at Zip2 and PayPal, and then onto SpaceX, Tesla, and SolarCity."
19,Euclid in the Rainforest,./images/Bookshelf_Images/All_Non_Fiction_Images/Euclid_in_the_Rainforest.JPG,Joseph,Mazur,3,"Like Douglas Hofstadter�s G�del, Escher, Bach, and David Berlinski�s A Tour of the Calculus, Euclid in the Rainforest combines the literary with the mathematical to explorelogic�the one indispensable tool in man�s quest to understand the world."
20,Fermats Enigma,./images/Bookshelf_Images/All_Non_Fiction_Images/Fermats_Enigma.JPG,Simon,Singh,3,"Fermat's Last Theorem is a popular science book by Simon Singh. It tells the story of the search for a proof of Fermat's Last Theorem, first conjectured by Pierre de Fermat in 1637, and explores how many mathematicians such as �variste Galois had tried and failed to provide a proof for the theorem."
21,Flash Boys,./images/Bookshelf_Images/All_Non_Fiction_Images/Flash_Boys.JPG,Michael,Lewis,3,"In Michael Lewis's game-changing bestseller, a small group of Wall Street iconoclasts realize that the U.S. stock market has been rigged for the benefit of insiders. They band together�some of them walking away from seven-figure salaries�to investigate, expose, and reform the insidious new ways that Wall Street generates profits."
22,Follow the Smart Money,./images/Bookshelf_Images/All_Non_Fiction_Images/Follow_the_Smart_Money.JPG,Jon,Najarian,2,"Unusually, large option trades hit the tape every day. Sometimes it's institutional hedging, or trades based on proprietary research and analysis. And yes--sometimes it's insiders buying before an unexpected announcement in the stock."
23,Germs Guns & Steel,./images/Bookshelf_Images/All_Non_Fiction_Images/Germs_Guns_&_Steel.JPG,Jared,Diamond,4,"Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had a head start in food production advanced beyond the hunter-gatherer stage, and then developed writing, technology, government, and organized religion�as well as nasty germs and potent weapons of war�and adventured on sea and land to conquer and decimate preliterate cultures. "
24,Godel Escher & Bach,./images/Bookshelf_Images/All_Non_Fiction_Images/Godel_Escher_&_Bach.JPG,Douglas,Hofstadter,4,"By exploring common themes in the lives and works of logician Kurt G�del, artist M. C. Escher, and composer Johann Sebastian Bach, the book expounds concepts fundamental to mathematics, symmetry, and intelligence."
26,How to Win Friends and Influence People,./images/Bookshelf_Images/All_Non_Fiction_Images/How_to_Win_Friends_and_Influence_People.JPG,Dale,Carnegie,3,"As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age."
27,Imaginary Numbers,./images/Bookshelf_Images/All_Non_Fiction_Images/Imaginary_Numbers.JPG,William,Frucht,3,"Imaginary Numbers displays the fruits of this cross-fertilization by collecting the best creative writing about mathematical topics from the past hundred years. In this engaging anthology, we can explore the many ways writers have played with mathematical ideas. "
28,Incerto,./images/Bookshelf_Images/All_Non_Fiction_Images/Incerto.JPG,Nassim,Taleb,5,"Nassim Nicholas Taleb's landmark Incerto series is an investigation of luck, uncertainty, probability, opacity, human error, risk, disorder, and decision-making in a world we don't understand, in nonoverlapping and standalone books."
29,Information Theory,./images/Bookshelf_Images/All_Non_Fiction_Images/Information_Theory.JPG,James,Gleick,4,"Gleick tells the story of information technologies that changed the very nature of human consciousness. He provides portraits of the key figures contributing to the inexorable development of our modern understanding of information: Charles Babbage, the idiosyncratic inventor of the first great mechanical computer; Ada Byron, the brilliant and doomed daughter of the poet, who became the first true programmer; pivotal figures like Samuel Morse and Alan Turing; and Claude Shannon, the creator of information theory itself. "
30,Kissinger,./images/Bookshelf_Images/All_Non_Fiction_Images/Kissinger.JPG,Walter,Isaacson,3,"By the time Henry Kissinger was made secretary of state in 1973, he had become, according to the Gallup Poll, the most admired person in America and one of the most unlikely celebrities ever to capture the world's imagination. Yet Kissinger was also reviled by large segments of the American public, ranging from liberal intellectuals to conservative activists. Kissinger explores the relationship between this complex man's personality and the foreign policy he pursued. "
31,Legacy of Ashes,./images/Bookshelf_Images/All_Non_Fiction_Images/Legacy_of_Ashes.JPG,Tim,Weiner,5,"Legacy of Ashes: The History of the CIA is a 2007 book by Tim Weiner. Legacy of Ashes is a detailed history of the Central Intelligence Agency from its creation after World War II, through the Cold War years and the War on Terror."
32,Liars Poker,./images/Bookshelf_Images/All_Non_Fiction_Images/Liars_Poker.JPG,Michael,Lewis,3,"Liar's Poker is a non-fiction, semi-autobiographical book by Michael Lewis describing the author's experiences as a bond salesman on Wall Street during the late 1980s."
33,Livy a History of Early Rome,./images/Bookshelf_Images/All_Non_Fiction_Images/Livy_a_History_of_Early_Rome.JPG,Livy, ,4,"The History of Rome is a monumental history of ancient Rome. The first ten books cover the legendary founding of Rome, including the landing of Aeneas in Italy and the founding of the city by Romulus."
34,Myths and Legends of Ancient Egypt,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_and_Legends_of_Ancient_Egypt.JPG,Lewis,Spence,4,"From Herodotus to The Mummy, Western civilization has long been fascinated with the exotic myths and legends of Ancient Egypt but they have often been misunderstood. Here acclaimed Egyptologist Joyce Tyldesley guides us through 3000 years of changing stories and, in retelling them, shows us what they mean."
35,Myths and Legends of Babylonia and Assyria,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_and_Legends_of_Babylonia_and_Assyria.JPG,Lewis,Spence,3,"The book discusses not only the mythology of Babylonia and Assyria, but also the history of the region (Mesopotamia), Biblical accounts similar to the region's mythology, and comparisons to the mythologies of other cultures, such as those of India and northern Europe."
36,Myths and Legends of China,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_and_Legends_of_China.JPG,Edward,Werner,4,"n this fascinating and comprehensive collection of Chinese myths and legends, E. T. C. Werner drew upon material readily available to him as a member of the Chinese government's' Historiographical Bureau in Peking. A former barrister and British consul in Foochow, Werner presents a wealth of information illuminating the ideas and beliefs that governed the daily lives of the Chinese people long before the revolutions of the 20th century."
37,Myths and Legends of Japan,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_and_Legends_of_Japan.JPG,Hadland,Davis,4,"The most popular myths and legends of Japanese culture are charmingly retold in English in this handsomely illustrated book. Here are myths of gods, heroes and warriors; legends of Buddha, and of the goddess Benten and the god Daikoku; tales of the sea and of Mount Fuji; accounts of superstitions and supernatural beings; observations on the spiritual properties of fans, flowers, dolls and butterflies and much more."
38,Myths of the North American Indians,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_of_the North_American_Indians.JPG,Lewis,Spence,3,"For the North American peoples, myths and legends were more than mere entertainment. They were an essential part of a culture based upon a common understanding of mankind's place in nature, and upon totemic beliefs which gave animals souls, spirits and supernatural powers."
39,Myths of the Hindus and Buddhists,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_of_the_Hindus_and_Buddhists.JPG,Sister,Nivendita,4,"This book was prepared by the foremost scholars and writers on the subject. The Sister Nivedita (1867-1911) and Anand Kumaraswami ( 1877- 1947) had an unmatched understanding of Indian culture, language, religion and philosophy. This book shall offer to the art historians as well as students of Anthropology, Folklores, Indian Culture, Literature and authentic account of Indian Mythology in the most scholarly explanations."
40,Myths of the Norsemen,./images/Bookshelf_Images/All_Non_Fiction_Images/Myths_of_the_Norsemen.JPG,H.A.,Guerber,5,"From this making of the world, to Ragnarok, the last Great Battle, Roger Lancelyn Green tells the story in one continuous narrative. It is easy to read, and there is a clear rhythm carrying through to the final climax."
41,No Place to Hide,./images/Bookshelf_Images/All_Non_Fiction_Images/No_Place_to_Hide.JPG,Glen,Greenwald,3,"In May 2013, Glenn Greenwald set out for Hong Kong to meet an anonymous source who claimed to have astonishing evidence of pervasive government spying and insisted on communicating only through heavily encrypted channels. That source turned out to be the twenty-nine-year-old NSA contractor Edward Snowden, and his revelations about the agency's widespread, systemic overreach proved to be some of the most explosive and consequential news in recent history, triggering a fierce debate over national security and information privacy."
42,Permanent Record,./images/Bookshelf_Images/All_Non_Fiction_Images/Permanent_Record.JPG,Edward,Snowden,4,"Permanent Record is a 2019 autobiography by Edward Snowden, whose revelations sparked a global debate about surveillance."
43,Politics & Poetics,./images/Bookshelf_Images/All_Non_Fiction_Images/Politics_&_Poetics.JPG,Aristotle, ,5,"Aristotle's discussion of government in the Politics is so idea packed that it's been argued over ever since being written. It's an empiric description of human nature under various historical circumstances, filled with information on what had happened to former states & what was happening in his own time, coupled with an analysis of the structure of society."
44,Principles,./images/Bookshelf_Images/All_Non_Fiction_Images/Principles.JPG,Ray,Dalio,0,"In Principles, Dalio shares what he�s learned over the course of his remarkable career. He argues that life, management, economics, and investing can all be systemized into rules and understood like machines. "
45,Sacred Texts,./images/Bookshelf_Images/All_Non_Fiction_Images/Sacred_Texts.JPG,Various Authors, ,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. Quorum altera prosunt, nocent altera. Ita graviter et severe voluptatem secrevit a bono. Quid ergo attinet dicere:Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod autem magnum dolorem brevem, longinquum levem esse dicitis, id non intellego quale sit. "
46,Sapiens,./images/Bookshelf_Images/All_Non_Fiction_Images/Sapiens.JPG,Yuval,Harari,4,"Sapiens: A Brief History of Humankind is a book by Yuval Noah Harari, first published in Hebrew in Israel in 2011 based on a series of lectures Harari taught at The Hebrew University of Jerusalem, and in English in 2014."
47,Shortest Way Home,./images/Bookshelf_Images/All_Non_Fiction_Images/Shortest_Way_Home.JPG,Pete,Buttigieg,2,"Shortest Way Home: One Mayor's Challenge and a Model for America's Future is an autobiography by Pete Buttigieg, the Mayor of South Bend, Indiana from 2012 to 2020."
48,Spy Catcher,./images/Bookshelf_Images/All_Non_Fiction_Images/Spy_Catcher.JPG,Peter,Wright,1,"Spycatcher: The Candid Autobiography of a Senior Intelligence Officer is a memoir written by Peter Wright, former MI5 officer and Assistant Director, and co-author Paul Greengrass. He drew on his own experiences and research into the history of the British intelligence community."
49,Statistical Consequences of Fat Tails,./images/Bookshelf_Images/All_Non_Fiction_Images/Statistical_Consequences_of_Fat_Tails.JPG,Nassim,Taleb,1,"The book investigates the misapplication of conventional statistical techniques to fat tailed distributions and looks for remedies, when possible. Switching from thin tailed to fat tailed distributions requires more than ""changing the color of the dress."""
50,Steve Jobs,./images/Bookshelf_Images/All_Non_Fiction_Images/Steve_Jobs.JPG,Walter,Isaacson,2,"Walter Isaacson's ""enthralling"" (The New Yorker) worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years--as well as interviews with more than 100 family members, friends adversaries. competitors, and colleagues"
51,Technical Analysis Explained,./images/Bookshelf_Images/All_Non_Fiction_Images/Technical_Analysis_Explained.JPG,Martin,Pring,3,"A companion workbook for Martin Pring's best-selling Technical Analysis Explained. With questions that correspond to chapters and sections throughout the book, this study guide features: charts and graphs; full text answers; fill-in-the-blank, multiple choice, and matching question formats."
52,Test Scores,./images/Bookshelf_Images/All_Non_Fiction_Images/Test_Scores.JPG,Howard,Lyman,1,"This fact-filled, authoritative introduction to psychological and educational testing equips new practitioners with an overview of how to interpret and use test scores effectively."
53,The (Mis) Behavior of Markets,./images/Bookshelf_Images/All_Non_Fiction_Images/The_(Mis)_Behavior_of_Markets.JPG,Benoit,Mandelbrodt,1,"With his fractal tools, Mandelbrot has gotten to the bottom of how financial markets really work, and in doing so, he describes the volatile, dangerous (and strangely beautiful) properties that financial experts have never before accounted for. The result is no less than the foundation for a new science of finance."
54,The Art of War,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Art_of_War.JPG,Sun,Tzu,2,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period. The work, which is attributed to the ancient Chinese military strategist Sun Tzu, is composed of 13 chapters."
55,The Code Book,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Code_Book.JPG,Simon,Singh,1,"The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography is a book by Simon Singh, published in 1999 by Fourth Estate and Doubleday. The Code Book describes some illustrative highlights in the history of cryptography, drawn from both of its principal branches, codes and ciphers."
56,The Confessions of Jean Jacques Rousseau,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Confessions_of_Jean_Jacques_Rousseau.JPG,Jean Jacques,Rousseau,1,"In his Confessions Jean-Jacques Rousseau tells the story of his life, from the formative experience of his humble childhood in Geneva, through the achievement of international fame as novelist and philosopher in Paris, to his wanderings as an exile, persecuted by governments and alienated from the world of modern civilization. "
57,The Confessions of St. Augustine,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Confessions_of_St._Augustine.JPG,Augustine of,Hippo,3,"Confessions is an autobiographical work by Saint Augustine of Hippo, consisting of 13 books written in Latin between AD 397 and 400. The work outlines Saint Augustine's sinful youth and his conversion to Christianity."
58,The Courage to Act,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Courage_to_Act.JPG,Ben,Bernanke,2,"Rich with detail of the decision-making process in Washington and indelible portraits of the major players, The Courage to Act recounts and explains the worst financial crisis and economic slump in America since the Great Depression, providing an insider�s account of the policy response."
59,The Decline and Fall of the Roman Empire,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Decline_and_Fall_of_the_Roman_Empire.JPG,Edward,Gibbon,3,The History of the Decline and Fall of the Roman Empire is a six-volume work by the English historian Edward Gibbon. It traces Western civilization from the height of the Roman Empire to the fall of Byzantium in the fifteenth century.
60,The Effayes,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Effayes.JPG,Sir Francis,Bacon,2,"Essayes: Religious Meditations. Places of Perswasion and Disswasion. Seene and Allowed was the first published book by the philosopher, statesman and jurist Francis Bacon. The Essays are written in a wide range of styles, from the plain and unadorned to the epigrammatic."
61,The Federalist,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Federalist.JPG,James,Madison,3,"The Federalist Papers is a collection of 85 articles and essays written by Alexander Hamilton, James Madison, and John Jay under the collective pseudonym ""Publius"" to promote the ratification of the United States Constitution."
62,The Greatest Trade Ever,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Greatest_Trade_Ever.JPG,Gregory,Zuckerman,5,"In 2006, hedge fund manager John Paulson realized something few others suspected--that the housing market and the value of subprime mortgages were grossly inflated and headed for a major fall.� Paulson's background was in mergers and acquisitions, however, and he knew little about real estate or how to wager against housing.� He had spent a career as an also-ran on Wall Street. But Paulson was convinced this was his chance to make his mark."
63,The Greek Myths Volume 1,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Greek_Myths_Volume_1.JPG,Robert,Graves,2,"he Greek Myths is a mythography, a compendium of Greek mythology, with comments and analyses, by the poet and writer Robert Graves. Many editions of the book separate it into two volumes. Abridged editions of the work contain only the myths and leave out Graves' commentary."
64,The Greek Myths Volume 2,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Greek_Myths_Volume_2.JPG,Robert,Graves,5,"he Greek Myths is a mythography, a compendium of Greek mythology, with comments and analyses, by the poet and writer Robert Graves. Many editions of the book separate it into two volumes. Abridged editions of the work contain only the myths and leave out Graves' commentary."
65,The Intelligent Investor,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Intelligent_Investor.JPG,Benjamin,Graham,4,"The Intelligent Investor by Benjamin Graham, first published in 1949, is a widely acclaimed book on value investing. The book provides strategies on how to successfully use value investing in the stock market. Historically, the book has been one of the most popular books on investing and Graham�s legacy remains."
66,The Man Who Solved the Market,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Man_Who_Solved_the_Market.JPG,Gregory,Zuckerman,3,Bestselling author and veteran Wall Street Journal reporter Zuckerman answers the question investors have been asking for decades: How did Jim Simons do it? Simons is the greatest money maker in modern financial history.
67,The Millennium Problems,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Millennium_Problems.JPG,Keith,Devlin,2,"In 2000, the Clay Foundation of Cambridge, Massachusetts, announced a historic competition: whoever could solve any of seven extraordinarily difficult mathematical problems, and have the solution acknowledged as correct by the experts, would receive 1 million in prize money."
68,The Prince,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Prince.JPG,Niccolo,Machiavelli,4,The Prince is a 16th-century political treatise written by Italian diplomat and political theorist Niccol� Machiavelli as an instruction guide for new princes and royals.
69,The Republic,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Republic.JPG,Plato, ,3,"The Republic is a Socratic dialogue, authored by Plato around 375 BC, concerning justice, the order and character of the just city-state, and the just man."
70,The Rise and Fall of Great Powers,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Rise_and_Fall_of_Great_Powers.JPG,Paul,Kennedy,2,"The Rise and Fall of the Great Powers: Economic Change and Military Conflict from 1500 to 2000, by Paul Kennedy, first published in 1987, explores the politics and economics of the Great Powers from 1500 to 1980 and the reason for their decline."
71,The Room Where it Happened,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Room_Where_it_Happened.JPG,John,Bolton,3,"As President Trump�s National Security Advisor, John Bolton spent many of his 453 days in the room where it happened, and the facts speak for themselves."
72,The Science of Secrecy,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Science_of_Secrecy.JPG,Simon,Singh,3,"""The Science of Secrecy"", which accompanies the major Channel 4 series, brings to life the hidden history of codes and codebreaking. Since the birth of writing, there has been the need for secrecy."
73,The Sword and-Shield,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Sword_and-Shield.JPG,Peniel,Joseph,4,"The Sword and the Shield is based on one of the most extraordinary intelligence coups of recent times: a secret archive of top-level KGB documents smuggled out of the Soviet Union which the FBI has described, after close examination, as the ""most complete and extensive intelligence ever received from any source."""
74,The Tangled Web,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Tangled_Web.JPG,Michael,Zalewski,5,"Modern web applications are built on a tangle of technologies that have been developed over time and then haphazardly pieced together. Every piece of the web application stack, from HTTP requests to browser-side scripts, comes with important yet subtle security consequences."
75,The Undoing Project,./images/Bookshelf_Images/All_Non_Fiction_Images/The_Undoing_Project.JPG,Michael,Lewis,0,"Forty years ago, Israeli psychologists Daniel Kahneman and Amos Tversky wrote a series of breathtakingly original papers that invented the field of behavioral economics. "
76,Upheaval,./images/Bookshelf_Images/All_Non_Fiction_Images/Upheaval.JPG,Jared,Diamond,3,Upheaval: How Nations Cope with Crisis and Change is a 2019 nonfiction book by American scientist Jared Diamond. Diamond attempts to analyze devastating crises that may destroy whole countries and the multiple reasons causing them.
77,War on Peace,./images/Bookshelf_Images/All_Non_Fiction_Images/War_on_Peace.JPG,Ronan,Farrow,4,"In an astonishing journey from the corridors of power in Washington, DC, to some of the most remote and dangerous places on earth?Afghanistan, Somalia, and North Korea among them?acclaimed investigative journalist Ronan Farrow illuminates one of the most consequential and poorly understood changes in American history. His firsthand experience as a former State Department official affords a personal look at some of the last standard bearers of traditional statecraft, including Richard Holbrooke, who made peace in Bosnia and died while trying to do so in Afghanistan."
78,Wealth of Nations,./images/Bookshelf_Images/All_Non_Fiction_Images/Wealth_of_Nations.JPG,Adam,Smith,2,"An Inquiry into the Nature and Causes of the Wealth of Nations, generally referred to by its shortened title The Wealth of Nations, is the magnum opus of the Scottish economist and moral philosopher Adam Smith."
79,When Genius Failed,./images/Bookshelf_Images/All_Non_Fiction_Images/When_Genius_Failed.JPG,Roger,Lowenstein,1,"When it was founded in 1993, Long-Term was hailed as the most impressive hedge fund in history. But after four years in which the firm dazzled Wall Street as a $100 billion moneymaking juggernaut, it suddenly suffered catastrophic losses that jeopardized not only the biggest banks on Wall Street but the stability of the financial system itself."
80,Zero to One,./images/Bookshelf_Images/All_Non_Fiction_Images/Zero_to_One.JPG,Peter,Thiel,1,"The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things."
