Project_Category,Project_Name,Project_Image_Path,Project_Tags,Project_Link,Project_Description
Reinforcement Learning Projects,Correlated Q-Learning,./images/Research_Images/Correlated_Q_Thumbnail.png,Python-Linear Programming-Game Theory,https://gitfront.io/r/EvanJ03/413e74d75b04cd4b766f5de646b5e3f018a2c3b0/Correlated-Q-Learning-Replication/,"In this project, I attempt to replicate the seminal paper on Correlated Q learning, an extension of Q-learning to game-theory which provides both convergence guarentees as well as an intuitive approach to understanding conflicting strategies in two player finite games."
Reinforcement Learning Projects,TDLearning,./images/Research_Images/TD_Learning_Thumbnail.png,Python-Numpy,https://gitfront.io/r/EvanJ03/4de8c01514eb91ed94f21330ea629f4883782712/TD-Learning-Replication/,"Although Sutton's paradigm of TD learning emereged from this paper, it may just be one of the most error ridden works I have the pleasure of replicating. Through several chart revisions and errouneous initizations even Sutton confesses he has no idea where his figures came from."
Reinforcement Learning Projects,Lunar Lander,./images/Project_Images/Lunar_Lander.png,Python-Pytorch-Tensorflow-DeepRL,https://gitfront.io/r/EvanJ03/280cecd1d109fef4252843ec1d0da7a476fcb2c8/Lunar-Lander-DQN/,"In this project, I apply some of Deepmind's innovations in the field of Deep Reinforcement Learning to solve the open ai gym lunar lander enviornment. This implementation utiilzes Double Dueling DQN with priortized replay buffer."
Reinforcement Learning Projects,Deepmind Atari,./images/Research_Images/Atari_Thumbnail.png,Tensorflow-Computer Vision-Search,https://github.com/EvanJ3/Deepmind-Atari,Here is some descriptive text about the paper in question. My annotations are contained within as well as some addtional text here. And a little more text here.Here is some descriptive text about the paper in question. My annotations are contained within as well as some addtional text here. And a little more text here.
Web Development Projects,SignaturePaws.org,./images/Project_Images/signature_paws_website.jpg,Wix-SEO-Photoshop,https://signaturepaws.org,"I created this website as a labor of love to both my mom and our family dog Tessie. This page serves as her kennel homepage, and showcases her accomplishments over the years in AKC confirmation shows. The website was built with wix (due a tight turnaround) and was a key tool in finding wonderful homes for all nine of our Bernese Mountain Dog puppies born New Year's Day 2021"
Web Development Projects,Bridging The Gap,./images/Project_Images/bridging_the_gap_logo.png,TensorFlow-Sklearn-Flask-SQL-Tableau-JavaScript-CSS-HTML-LaTeX,https://gitfront.io/r/EvanJ03/0c17dcce68bd8cc31d2813a35c11b785ce4d9cba/Bridging-the-Gap/,"This application, developed by Team054 for the Georgia Institute of Technology's CSE 6242: Data and Visual Analytics course, is a modern adaptation of existing tools for understanding and visualizing bridge infrastructure data in the United States."
Web Development Projects,Business Dashboards with Django & SQL,./images/Project_Images/price_palace_logo.png,Python-Django-SQL-HTML-CSS,https://gitfront.io/r/EvanJ03/5b4c9fe1a01992bcde11eb70417d65d65db75e4a/Price-Palace/,"This website/dashboard was developed as part of the capstone project for CS 6400 (Databases) at Georgia Tech. From scratch we were required to develop the full stack of technologies needed to meet the project specifications for a user friendly front end database entry and analytics dashboard for the ficitonal business ""Price Palace"". The project itself involves css, javascript, html, django, native python, php, & mysql. A big thanks go out to my two partners Tyrone & David."
Web Development Projects,EvanJones.AI,./images/Project_Images/EJ_AI_Logo.png,Javascript-HTML-SCSS-D3-Python,https://evanjones.ai,"You are here! This website was created from scratch without any existing frameworks. Everything is scratch scss, html, or javascript. Although web-development isn't my personal skillset, building and mainating this site has been a truly rewarding and educational experience. You can check out all the source code in github below."
Web Development Projects,Fractal.JS,./images/Project_Images/mandelbrot.jpg,Javascript-HTML-SCSS,https://github.com/EvanJ3/Fractal-JS,"This project actually became the inspiration for this website's homepage. In this project I use javascript, scss, and html to reproduce the famous Mandlebrot Set in browser. This variant allows indivduals to pause reset and even zoom in on points of interest in the graph."
Hardware Projects,Magspoof,./images/Project_Images/magspoof.jpg,Arduino-Soldering-Micropython,,"In this project, I replicate Samy Kamkar's latest hack the MagSpoof. This device utilizes an electromagnent driven by two discrt drivers to capture magnetic card data over air. Please use the tool responsibly."
Hardware Projects,Custom Built PC,./images/Project_Images/rig.jpg,3DPrinting-Fusion360,,"One of my most exciting projects to date, building your own PC cerntainly lived up to the hype. Additionally, there is something to be said about understanding your hardware. Take a look at the build below."
Machine Learning Projects,Bridging The Gap,./images/Project_Images/bridging_the_gap_logo.png,TensorFlow-Sklearn-Flask-SQL-Tableau-JavaScript-CSS-HTML-LaTeX,https://gitfront.io/r/EvanJ03/0c17dcce68bd8cc31d2813a35c11b785ce4d9cba/Bridging-the-Gap/,"This application, developed by Team054 for the Georgia Institute of Technology's CSE 6242: Data and Visual Analytics course, is a modern adaptation of existing tools for understanding and visualizing bridge infrastructure data in the United States."
Hardware Projects,Ender 3v2 Extender 400,./images/Project_Images/ender_extender_custom.jpg,Fusion 360-3D Printing-Marlin-Jyers-C,https://github.com/EvanJ3/Ender-3v2-Extender-Jyers-UI,"In this project, I utilize open source software, 3rd party modification, and some good old sweat equity to transform my base Ender 3v2 into a fully featured printer. "
